Indonesian	Minangkabau
Hari ini saya bangun pagi-pagi dan membersihkan rumah, kemudian saya memasak sarapan untuk keluarga, setelah itu saya berolahraga di taman dan mengunjungi toko untuk membeli barang-barang kebutuhan.	Hari ini aku bangun subuh-subuh dan memesihkan rumah, kemudian aku masak sarapan untuk sanak saudara, bayuang ditu aku mungukuo di halaman dan mambeli barango kebutuhan di pasarek.
Hari ini saya memutuskan untuk pergi ke kantor dengan menggunakan bis jarak jauh, karena saya ingin menghindari kemacetan yang biasa terjadi di jalan raya saat jam sibuk, sehingga saya bisa tiba di tempat kerja dengan lebih cepat dan efisien.	Hari ko sajo, aku memutuskan mun diampah ka kantok pake bis jarak jauh, kareko aku peduli mambarangkaliko banjir kendalonyo doro jalan laris pada waktunyo sibauk, pallo aku bisa sampai di padang kerjo mambarangkaliko ciepat lai inyo mantap.
Siswa-siswa di sekolah itu harus belajar matematika, bahasa Indonesia, bahasa Inggris, sains, sejarah, geografi, seni, olahraga, serta agama sesuai dengan keyakinan masing-masing.	Ajaran di sekolah adat Minangkabau ulun pan duduak mambaca, memandei wayang, mamboi guitar, mampelajari adat istiadat, mampraktekkan didalam ladang, mamangangkan songket, mamahatikan rumah gadang, mamancangkan musyawarah saling bantu di persimpangan.
Kita harus menjaga kebersihan dan kelestarian lingkungan agar masyarakat dapat hidup sehat dan nyaman, kita juga harus memberikan pendidikan yang berkualitas dan memadai agar generasi muda dapat memiliki pengetahuan dan keterampilan yang baik untuk membawa kemajuan di masa depan, kita juga harus menciptakan lapangan kerja yang lebih luas dan bermanfaat agar dapat mengurangi angka pengangguran dan kemiskinan.	Kito barusajo kebiasaan mbereh dan mandoakan alam nyadi taok amo kato masyarakat dapek mamijik jo senggangi, kito juo barumo nyadiahkan pangajiak berkualiti dan arif ampek pandai, andai jo adolah anak mambokek barusayo dibarui mamuncatak kanaga jo kalayak, kito barumo juo barujo magolah pekerjaan jo manjadi manfaat andai mambiliek babagi sambiak jo kato ampek kanan apo kemajaan dapek do
Hari ini cuaca sangat cerah dan terik, sehingga banyak orang memilih untuk berkumpul di pantai, berjemur di bawah sinar matahari yang menyengat, dan menikmati air laut yang jernih dan sejuk.	Dina ini cuaca amatlah terang dan panas, jadina ado banyak urang pilih bakaik di pantai, bakondomur malih di bawah bajuah cahayo nan sematangkan badik, dan mambuek malah sungai nan saruik jo sejuknyo.
Hari ini saya bangun pagi-pagi, mandi pagi, sarapan pagi, dan pergi ke kantor dengan mobil saya yang baru.	Barono kini lah hubuang subuh namo, adolah biniang subuh, minum salai sagu, dek ghenek rumah bawo ke kantor den busak tumbalak besar punyo yang baru.
Setelah bangun pagi-pagi buta, aku langsung mempraktikkan olahraga pagi seperti jalan kaki, lari, atau yoga, kemudian mandi dan sarapan dengan makanan sehat seperti oatmeal, buah-buahan, atau telur rebus sebelum memulai aktivitas kerja.	Setelah bangun pagi-pagi buta, ba'aso sasudaro sambil tukur inao, air tigo tinggalah di anta bagenggangai ndak sankak lapuak, mandi pun tigo pinuh basambunyo patandiang gauah ko iduik-paguik, bahega pampangan kampuang kari pesaren, pulang ikalang punyo urang niani sakapo janji.
Saya ingin memperkenalkan diri saya, memberikan latar belakang pendidikan serta pengalaman kerja saya yang bermanfaat bagi perusahaan, dan menunjukkan komitmen saya dalam mengembangkan keterampilan dan keahlian saya di bidang yang diinginkan.	Saya ingin mangenalkan diri, mangelengkaian pado pangalaman adiak kami, sarembah bakalnyo katonan ka pekerjaan nyo, sarembah bakalnyo komitmen kami dalam memperbaharui kusyi-kusyi kami di maqiah yang barpuan.
.Ketika saya pergi ke toko, saya membeli beberapa kebutuhan rumah tangga seperti sabun cuci, pasta gigi, dan deterjen untuk mencuci pakaian, tetapi saya juga membeli camilan seperti cokelat, keripik kentang, dan minuman ringan untuk dinikmati saat bersantai di rumah.	.Sakarang lamo-lamo, bilo ndak mambaihi sajuak sajo bandoang, ayuik, kain sarong, jo baju bayuo, tapi tangih gaduang kayu inyo dikantung kami juga beli aneka ladang seperti kacang ijau, kacang panjang, dan pepaya, sireh lantang, dambun baruah, balah bintang untuk malelekan di tempat rumah.
Hari ini saya pergi ke pasar untuk membeli beberapa bahan makanan seperti sayur-sayuran, daging sapi yang segar, ikan laut yang masih hidup, buah-buahan yang manis, dan rempah-rempah yang harum untuk membuat hidangan lezat.	Hari ini aku pergi ke pasar untuk mambarang beberapa kadai makang kaya sayur-sayur, bao sapi yang segar, ikang lumuik yang masih hiduik, buoh-buoh kaya manis, dan bumbu-bumbu yang harum untuak mangaraman ulekan beda.
Saya suka makan nasi goreng, mie goreng, dan bakso yang dijual di warung dekat rumah saya.	Saya manggaduahkan nyiak gulai, sate padang, dan dendeng balado nan juo di tapak rumah kamari.
Saya suka makanan lezat, minuman segar, dan bersantai di pantai.	Saya raso makanan indak gugah perut, air segar, dan rancak main di pinggir pantai.
Setiap pagi, saya bangun lebih awal, membersihkan diri, mempersiapkan sarapan, mengambil kunci mobil, dan pergi bekerja.	Tiap-tiap pagi, sa bangun lebih awal, mumutui diri, padatiakian airaro, mangambil kunci mobil, dan pulang ngakikhiang.
.Pada saat ini, banyak orang sedang berjuang mempertahankan kesehatan mereka dengan olahraga rutin, menjaga pola makan yang sehat, dan melakukan aktivitas meditasi untuk mengurangi stres yang mungkin merusak keseimbangan tubuh dan pikiran mereka.	.Sabana ini, banamo orangnyo gadang-gadang marumpak urang pamantangnyo ampek kilik kusuko, nelepakan pola makan yang sewak dan niang mandeangkan aktivitas meditasi untuik dumuluangkan stres nan malak menyaurangan imbang tingkah laku dan kalakuan santo.
.Proses pembuatan kue kering termasuk menggunakan tepung, gula, mentega, telur, dan bahan lainnya, kemudian adonan tersebut dikukus, dipanggang, atau digoreng, dan setelah itu kue tersebut dihias dengan berbagai jenis topping dan siap disajikan.	.Proses pambuatan kue kering adolah marantau mamakai taho, gula, sibua, kacang, dan panyabuik, disusul dengan kito adonan itu kadaikian dioignan, dipanggang, atau dipecek, sataluah itu kue auko dihias jo panyabuik-pauyo tisaik dan ikuo dihiduangkan.
.Seiring perkembangan zaman, teknologi semakin maju, gaya hidup masyarakat semakin berubah, dan kebutuhan akan informasi semakin meningkat.	.Dapek baayak jo panjang sabalunyo, pergilah caliak anjuang, dapek ditaluik lalu dipatikan ampek sabalunyo, kamudian marantau mangantarik ibu surang.
Hari ini kita akan pergi ke toko, membeli bahan-bahan untuk masak, dan membuat makanan yang lezat untuk keluarga.	Hari ini kita akan mamayo ka tokonyo, mangatakan bahan pangan dirungkuangan untuak masakan, dan mimbua lauk makanan nan lazat untuak keluargo.
Pemerintah Indonesia telah melakukan berbagai upaya dalam mengatasi pandemi COVID-19, seperti pembatasan sosial berskala besar, pengadaan alat kesehatan, peningkatan kapasitas laboratorium, program vaksinasi massal, dan bantuan sosial bagi masyarakat terdampak; sedangkan di daerah Minangkabau, banyak masyarakat juga berjuang dengan membuka usaha kecil-kecilan, berinovasi dalam pengelolaan pertanian dan peternakan, memberikan bantuan kepada sesama, mempromosikan pariwisata lokal, dan mempererat solidaritas sosial.	Pmrintah Indonesia nan dah batanyo untuak menanggapi pandemi COVID-19, kayak pembatasan sosial berskala besar, pinangan alat kisahatan, pincakapan ka kuaci labaratorium, program vaksinasi masal, sarato bantuan sosial kasandian nadua masyarakat lalah; adolahnyo di nagari Minangkab
Saya suka makan nasi goreng, mie goreng, dan ayam goreng di warung-warung kecil di pinggir jalan yang meriah dengan suasana khas pasar tradisional yang ramai dengan orang dan aroma rempah-rempah yang menggugah selera.	Saya endak kok manggaruai nasi goreng, mie goreng, jo ayam goreng di warung-warung nan kecil di pinggir jalan nan meriah dengan suasana jo suasana pasar tradisional nan ramai bana dengan tabuik dapua jo kumulan baunya nan ngagiak urang teulebih lapah.
Kita akan belajar, belajar, dan terus belajar agar dapat meningkatkan kemampuan kita dalam segala aspek kehidupan.	Kito bakal mambarajo, mambarajo, jo ndak kapalo mambarajo sajonyo supayo kapalo mambiakkan kamamuan kito dalam segalo sisih hiduik.
Tidak ada lagi yang bisa dilakukan untuk menyelamatkan bangunan tua itu dari kebakaran yang telah menyebar di seluruh bangunan itu, tetapi warga sekitar tetap berusaha memadamkan api yang membakar bangunan itu dengan menggunakan alat pemadam kebakaran sambil berharap tidak ada korban jiwa yang terjadi.	Awak parukaik manjalang batuah-sulah, kakanyo model baridit nomor dua puluh-limu petang samongko lawan pulang katanonjuakan wakik ikuang kapalagian-sumando nan pait malam, babanta samak balimbiang jo apamik-pamik cunto, basamo mayalo kabaikan manampik api nan manomandiak lawan bakar tuah banguang indak dianggan ampek limo lawan juo takambinahkan sapatak-iduik nan mambuek polong sumaniang di nagari indak ado korban jiwa nan diragoikan.
Saya suka makan nasi goreng, mie rebus, dan capcay, serta minum jus buah segar yang terdiri dari buah apel, wortel, dan anggur.	Saya suka makan nasi bungkus, lomak sayur pucuk ubi, dan dendeng balado, serta minum air sirih tambah tebuang dari kayu arang yang terdiri dari daun sirih, kapur sirih, dan gambir.
.Saat ini, kita tengah mengalami masa sulit di mana banyak orang yang kehilangan pekerjaan, terbatasnya interaksi sosial, dan munculnya berbagai tantangan baru dalam mempertahankan kesehatan fisik dan mental kita.	Parsamoan ka ini, kitu ndak lah mancapai maso nan sulit di maniyo banyak urang nan laiik pangangguran, batasannyo interaksi sosial, sadonyo talahir urang dalam mempertahankan kasehatan badan sabaso juo kasehatan jiwo kita nan sehat saperti kalantanangan punane hanyo.
Saya suka makan nasi goreng karena rasanya enak, dapat mengenyangkan perut, serta dapat dijadikan makanan praktis dalam waktu yang singkat.	Saya lamo taghanti bagagek raso makan nasi goreng, ampek ungkin perut, serta bisa ado jua makanan singkat sagalo waktu.
Pada umumnya, orang-orang Indonesia sangat menghargai keragaman budaya dan bahasa di negara mereka, sehingga mereka selalu berusaha untuk melestarikan serta mengembangkan nilai-nilai kearifan lokal, seperti seni tari, musik tradisional, dan bahasa daerah.	Sabalunyo, urang minang sangaja maafaki ragamo budayo da kato dalam ndak jauah, samantaro nyo, urang sadohakannyo maubaikan maipakanan conto-conto kesenorangan, samuro unduak jo urang juga mambuek sarato, musik rancak, da kato baso ndak pasar.
Ketika saya sedang berjalan-jalan di taman, saya melihat sekelompok anak-anak bermain bola di lapangan, beberapa orang dewasa sedang duduk-duduk di bangku, dan seorang pria tua sedang memberi makan burung-burung di pinggir kolam.	Sabalunyo aneak ado dalam taman, ka ambo liok ka tumpuan aneak-anak main bola dalam lapangan, ka oghang dewasa ujuang-juang duduk di bangku-bangku, ka tuo oghang kasawaik memberi mangan manok-manok di tepi kolam.
Sebagai ungkapan rasa syukur, kami memutuskan untuk mendonasikan makanan kepada anak-anak yatim, memberikan bantuan keuangan kepada keluarga yang membutuhkan, serta membantu merenovasi fasilitas olahraga di lingkungan sekitar.	Sebagai ungkapan rasa syukur, katiko urang jadi memampuakan mangko makanan ka anak-anak yatim, mamabagi salo nan malupiah ka keluarga nan juo butuh, dan mamulihkan parabuan olahraga di sunang-sunang urang.
Ketika saya sedang mengerjakan tugas kuliah, saya juga akan berusaha untuk membantu adik saya dengan PR sekolah dan juga membersihkan kamar saya serta dapur rumah kami.	Sabalunyo sakaliak sedang mandarang tugaso kulia, sakaliak panganeh pango Sambilan si adia,bangun kaayao sakandiang kamar, saparo dapuar hadiah kamiang.
Di pagi yang cerah ini, saya bangun dari tidur, mandi, bersiap-siap pergi ke kantor, mengecek email, memeriksa jadwal agenda hari ini, dan menyiapkan bekal makan siang.	Sabalun indak laubeh hari, akho bunyui dari tido, murajo, beparsiapan pancu ke kantor, cek email, mantau jadwal acaro hari aniyo, dan nyi kulakan pinggan makan siang.
Sepanjang jalur busway yang dilewati, pedagang kaki lima menawarkan berbagai pilihan makanan dan minuman yang lezat; sedangkan di pasar tradisional, para penjual berlomba-lomba menawarkan barang dagangan mereka kepada pembeli yang sibuk memilih di antara berbagai macam produk.	Dalam kesibukan yang mengguncang kota, orang Minangkabau mempertahankan kebiasaan mempertahankan tradisi dan budaya mereka dengan setia; mulai dari mengenakan baju adat yang khas hingga membangun rumah-rumah tradisional yang elegan, membuat hidangan makanan lezat seperti rendang dan nasi padang yang terkenal hingga membuat lagu-lagu dan tarian tradisional yang indah sebagai saksi kearifan lokal yang lestari.
Setiap hari saya bangun pagi-pagi sekali untuk berolahraga, mandi, dan sarapan sebelum pergi bekerja, sedangkan pada malam hari, saya biasanya meninggalkan kantor cukup larut dan kemudian pulang, makan malam, dan bersantai di rumah.	Hatiko tiap-tiap harinyo nyo bangun pangi-pangi disek dalam sabuah, mugalo, dan maanteik malam, serta makan malam, dan santai di dalam balai.
Sementara di Ibukota Jakarta terjadi kemacetan parah akibat banyaknya kendaraan bermotor yang melintas di jalan raya, di daerah pedesaan seperti Minangkabau terdapat pemandangan yang berbeda dimana masih banyak ladang-ladang hijau yang subur dikelilingi pegunungan yang menjulang tinggi.	Sabalunyo di Ibukota Jakarta kini badapa kemacetan babarapo alasik akibok banyoknyo kendaraan bermotor na kamanapian di jalan raya, dalam nagari-nagari nyo nan banaik basandiang yakni Minangkabau payak daratan yajua gaduang nan kalimpanan bjikiko masih manyak sumandojo hijaunyo nyo bikalehian oleh gunung-gunung nan tingo.
Ali sedang bersepeda di tengah kota, sementara Budi berjalan-jalan di taman, dan Cindy sedang berbelanja di pusat perbelanjaan.	Ali lagi na basikal di kota, ado Budi mamalintuik di taman, dan Cindy lagi mbeli-beli di sentaruh perngelaran.
Saya suka makan nasi, minum air putih, bersepeda di pagi hari, dan bermain game di waktu luang saya.	Saya suko mangan nasi, manusia air putih, bersepeda di waktu pagio, dan main game di waktu kosong saya.
Saya memiliki banyak hobi, seperti berolahraga, membaca buku, menulis puisi, menonton film, menggambar, dan belajar bahasa asing.	Aku ada banyak hobian, macam-macamnya adalah berolahrago, bacaro buku, menulis puoik, nonton film, ngambar, dan belajar bahoso asing.
Kami menerapkan protokol kesehatan seperti memakai masker, mencuci tangan, dan menjaga jarak sosial, untuk meminimalisir penyebaran virus Covid-19	Kami anggo protokol duduak, macamo nanoo, barampek larangan, dan mamakai musim dalam rang badaa, untuak minimize penyebaran virus Covid-19.
Ketika aku pergi ke pasar, aku membeli beras, sayuran, dan buah-buahan yang segar, lalu aku kembali ke rumah dan mulai memasak untuk keluarga saya.	Kalau lah aku nangguang ka pasar, aku beli padi, lauk pauk, mangga sawah, dan labuah baruik yang segar, pasca tu aku balakang ke rumah dan mancari tasak bagi keluagoan saiyo.
Saya suka makan nasi goreng, mie goreng, ayam goreng, dan sate ayam di restoran lokal.	Saya suka makan nasi padang, mie rebus, ayam bakar, dan sate padang di warung dekat rumah.
Ketika aku bangun pagi, aku bersyukur kepada Tuhan karena dia memberikan hidup sehat, dan aku berolahraga setiap hari untuk menjaga kesehatan fisikku.	Pasamo jo bangun pagi, urang ngucap syukur ka Allah sabalumnyo, kato paido lai urang mangan dalam jangka panjang. Urang urai kato badiri harini mako bagara kesehatan badiri urang.
Saya suka makan nasi goreng, mie goreng, dan sate ayam ketika saya lapar di siang hari.	Saya suko majon nasik goreng, mie goreng, dan sate ayom kalau sayo sarupo di siang hari.
Saya suka makan nasi goreng, mie goreng, dan sate ayam karena mereka enak dan memberikan energi yang cukup untuk aktivitas sehari-hari saya.	Saya suko makon nasik goreng, mie braginang, dan sate ayam ampek karo amaknyo pado raso laiyo dan ngasok adoo sapiak pambadayo kakik kalurahan saya.
Hari ini, saya harus pergi ke pasar untuk membeli bahan makanan, ke kantor untuk melaporkan pekerjaan mingguan, dan ke dokter untuk memeriksa kesehatan saya.	Hari ni, aku kene pi pasar untuak beli bahan makanan, ka pejabat untuak nyaratakan kerjaan mingguan, dan ka duktuak untuak memeriksa kesehatanku.
Ketika aku bangun pagi-pagi dan bersiap-siap untuk memulai hari, aku mengucap syukur kepada Tuhan atas segala berkah-Nya, aku mencuci muka dan menggosok gigi dengan sikat gigi, lalu mencuci piring dan memasak sarapan untuk keluarga, serta mengecek jadwal dan tugas yang harus diselesaikan hari ini.	Hapek lapau ba pagi-pagi kalau mulo bacuang diri, aku kabuah syukur ka Tuhan sabagai karunianya,Aku baka basuo wajah mariik gigi, pasambuang mangkik besek, taraso ka sahapuik urang rumah, katadiaknyo jadwal jo tugasna nan mamandangan lako ba hari ni.
Selama musim hujan, air yang turun dari langit bisa menimbulkan banjir yang mengancam rumah-rumah penduduk, mengganggu transportasi dan aktivitas masyarakat, serta merusak pertanian dan lingkungan sekitar.	Ado lai musim hujan, air nan tujo dari langit coko manimbulkan banjir nan malalodoakan rumah-rumah gadang, maukia salamaiknyo transportasi jo aktifitas mamakai, darimpekannyo hulan jo lingkungan sekeliling.
.Saat saya sedang memasak di dapur, saya juga menyuruh anak saya untuk belajar matematika di ruang belajar, sementara suami saya sedang menyelesaikan tugas kantornya di ruang kerja.	.Dalam ado mangonindo di dapur, ado manaseh anak sado belajar maedo di ruang peladang, sabatek ba' saat iburando ado manyelesayekek ampek megakuaian tugasnyo di ruang kantor.
Banyak sekali hewan-hewan yang hidup di hutan seperti beruang, harimau, kijang, monyet, dan banyak lagi, mereka memiliki adaptasi yang luar biasa untuk bertahan hidup di lingkungan yang keras dan penuh tantangan.	Banyaklah dakua hewan-hewan nan tampak di kajabiak hutan pacanting beruang, adek harimau, kijang, monyet, dan banyok lagi, nan dipunyokan adapsi nan sadiak buang bertahan hidup di lingkungan nan barek banamo.
Saat aku bangun pagi-pagi dan menyeduh secangkir kopi, aku juga memilih baju untuk menghadiri rapat penting di kantor dan melakukan latihan yoga untuk menjaga kesehatan tubuhku.	Tabuek ku manganti ka pagi-pagi jo ngaduakkan kopi, dmaso guo kamari mamilih baju untuak mamanyuo rapat penting di kantor sambil ngakua urang barihun untuak mamperihatan kaco.nyak ka badan gua.
Kehidupan manusia di dunia ini sangatlah kompleks karena mereka memiliki berbagai macam kebutuhan seperti sandang, pangan, dan papan, serta mereka harus berinteraksi dengan manusia dan lingkungan sekitar mereka yang sangat beragam.	Kehidupan orang di dunia nan pamanah satua sangatlah ribuik sanak karena kaianyo ado manyawiah paluang maco kebutuahan sapadirantau bajalan, sapangan, dan sapalambuang, sabalumurang sajaraik taradai manjahari nyo nan panyarato dan lingkungan nan pinoiso batanam muit.
Hari ini cuaca sangat cerah, udaranya sejuk dan segar, serta langitnya biru dan jernih.	Hari ini wakatu sadorangan sangat indah, udaronyo alus dan rinantih, serta langitnyo nan biru dan lancah.
.Orang Indonesia memiliki berbagai macam kebudayaan dan adat istiadat yang tercermin dari keragaman suku bangsa, bahasa, makanan, pakaian, tarian, dan musik; selain itu, Indonesia juga memiliki banyak tempat wisata yang menakjubkan dan keindahan alam yang luar biasa.	.Orang Minangkabau punyo adat basandiang sabagai pangajaran hiduik di dalam masyarakat, salagok juo adatangi pendidikan agamo dalam pandangan Nan Tuhan, jadilah anai-anai sarato julukan bagi anak Minang; disamping itu, Masjid Raya Sumatera Barat di Padang Basar, Kota Bukittinggi dan Pusat Dokumentasi dan Informasi Kebudayaan Minangkabau menyajikan aspek kebudayaan Minangkabau yang beragam dan terjaga hingga kini.
Pagi ini saya bangun pagi-pagi sekali untuk berolahraga di taman, mencuci baju di laundry, dan membersihkan kamar tidur.	Pagi nan indak mantari ini akau bangun badaro mangaturai di taman, mambasuh baju di laundry, dan mambersihkan barandiang taduang.
Meskipun terdapat perbedaan budaya, etnis, bahasa, dan adat istiadat antara satu daerah dengan daerah lainnya di Indonesia, namun sebagian besar masyarakat Indonesia memiliki semangat persatuan dan kesatuan yang kuat untuk terus membangun negara yang lebih maju dan sejahtera.	Walaupun kito bacagian jauh baso, adat, kamo, jo syarato antaro sabagi daerah dangan daerah nan sabalumnyo di Minangkabau, namun sabik jua adat batinan adiak nan bakaido adalah sikokom basamo-namo mambangun nagari nan labiah baimbau jo jahoo.
Ketika aku pergi ke pasar, saya membeli beras, sayuran, dan daging untuk persediaan makanan minggu ini, sementara teman saya pergi ke toko untuk membeli buku, pensil, dan kertas untuk persiapan ujian besok.	Kalau aku ka pasar, aku akan beli beras, sayur, dan tumbuak nan indak ngata yang indak bisa dilupokan untuk bahan makanan minggu nan datang, sementaro sahabatku ka toko untuk memikia rangkiang buku, pensil, dan kertas untuak tanduik ujian nan bakharajak.
Di pagi hari yang cerah, saya bangun dari tidur, membersihkan diri, dan kemudian memasak sarapan sambil mendengarkan musik di dapur yang bermandikan cahaya matahari.	Di pagi hari yang cerah, saya manduo dari tiduak, membasoh diri, baliak manggang sarapan sambil bibiak palua didapur nan basabuik cahayo suriah.
