Indonesian	Sundanese
Hari ini saya bangun pagi-pagi dan pergi ke gym untuk berolahraga, lalu kembali ke rumah untuk mandi dan sarapan sebelum mulai bekerja.	Sasampunna mangga nu gugur, abdi angkat pagi-pagi sareng teuangan ka gim pikeun ngajalankeun olahraga, terus luanar ka balarea pikeun beungeut sareng sarapan sateuacana ngahiji beuki sok beunget, sateuacana teu nyandak ngadamel kerja.
Saya suka makan nasi padang, ayam kentucky, dan sate madura; saya juga suka olahraga sepak bola, basket, dan bulutangkis; selain itu, saya sering menonton film Hollywood, drama Korea, dan acara komedi Indonesia.	Abdi keur kedah mangan nasi padang, ayam kentucky, sarebu sate Madura; abdi ogé keur areksepi meuli sepak bola, basket, tur bulu tangkis; sareng sajaba, abdi sok ngitungkeun film Hollywood, drama Korea, sarebu acara komedi Indonesia.
.Perayaan Hari Raya Idul Fitri di Indonesia selalu diisi dengan tradisi saling memaafkan, berziarah ke makam keluarga, dan berkunjung ke sanak saudara untuk mengucapkan selamat hari raya.	.Perayaan Hari Raya Idul Fitri di Tanah Sunda biasana diisi ku tradisi ngalap Berkah, ngunjuk Makam, lan mungjuang ka raga kang awakna kang ceurik-rumaja pikeun ngucapkeun salam Ramadan.
Kami sedang mempersiapkan diri untuk memenangkan pertandingan dengan berlatih keras, berolahraga teratur, mengatur pola makan sehat, serta memperbaiki konsentrasi dan fokus saat bermain.	Kami ngabantosan dina ngaprepatian pikeun ngarobih pertandingan kawas ku ngahontal keras, ngaragraga terah atanapi ngadamel pola makan sehat, sareng ngamutahirkeun lemah perhatosan sareng fokus nalika main.
Para petani sedang mengolah tanah dengan cermat dan teliti, sementara para nelayan mengarungi lautan dengan perahu tradisional yang seadanya, jalanan mulai macet oleh kendaraan bermotor, dan para pekerja perkantoran mulai sibuk dengan pekerjaan mereka di depan komputer.	Para para petani bari ngulangan tanah ku hati-hati sareng teu mbutuhkeun sorangan, samentara para nelayan nyungsih samudra ku kapal tradisional lalakon, jalan-jalan leres macet ku kendaraan bermotor, sareng para pegawai perkantoran ngaragadah sareng kajipuhan mere pisan di hadapan komputer.
Saya suka makan ayam goreng, minum es teh manis dan menonton film di rumah ketika hari libur tiba.	Abdi sarenggeuna ngarasa enak masak ayam goreng, mimitian teh manis sorangan sareng nyaksian film di bumi sangkan tabuh lamun mangga waktu-waktu wit.
.Saat aku bangun di pagi hari aku segera mandi, kemudian sarapan, dan setelah itu aku bersiap untuk pergi ke kantor.	.Maneh urang kalebet, pasrah ing sabae, maot warung ngarasa jaksi, munggah sawala ieu padaharapan, sarendeugan ka kantor.
.Hari ini saya bangun pagi-pagi untuk berolahraga di taman sebelum pergi bekerja, kemudian saya mandi dan sarapan sambil mengecek e-mail, lalu saya bersiap-siap untuk berangkat ke kantor dengan menaiki kereta api yang biasanya padat.	.Mimiti nami kaayaan hari ieu kuring bangun pagi-pagi anu ngiringkeun jalmi di tamansaheumat ka tempat kerja, sababaraha dipilari nami kuring mandi sareng sahur sambil ngecekteun e-mail, abdi turna ngajalukeun ke kantor leuwih padet jardina nganggo kereta api.
Saya suka makan nasi goreng, tapi saya juga suka makan mie goreng dan ayam goreng.	Abdi resep acan nasi goreng, tapi abdi resep acan mie goreng sarta ayam goreng.
Hari ini saya makan nasi goreng, tidur siang, dan bermain game di komputer sepanjang hari karena libur akhir pekan.	Mangga hayu aya warung makan nasi goreng, ngadangu tidur siang, sareng main game di komputer sadayana waktos sapoé nu kantos taun taun akhir.
Para juara Olimpiade Tokyo 2020 yang datang dari berbagai negara mendapatkan medali emas, perak, dan perunggu setelah mereka berhasil menyelesaikan pertandingan olahraga yang penuh tantangan dan persaingan.	Para juara Olimpiade Tokyo 2020 ti datang tina sababaraha nagara ranka miboga medali emas, periuk, sareng perunggu mangka dina saatosna merenahkeun kompetisi olahraga nu panglililir sareng pasti.
.Ketika aku pulang ke rumah, aku menyadari bahwa aku telah kehilangan kunci mobilku, telepon selulerku dan dompetku yang berisi uang, kartu kredit, dan KTP-ku yang penting.	.Rabun aku meuleng ka gedong, abdi nunjukeun yén abdi geus nyanghareupan kunci mobil abdi, telepon seluler abdi sareng dompet abdi nu berisi uang, kartu kredit sareng KTP abdi nu penting.
Ketika langit masih gelap gulita, ayam-ayam di kandang sudah bersiap-siap untuk berkokok dan para petani di sawah-sawah sekitar mulai bekerja dengan penuh semangat.	Sangking tosna ngarancang daun paling geulis sareng dingding teh nyampak, burung-burung di bodas sejen beramèl-ramèlan nyaéta burung bondol, anis, jalak, te kareta, sabanjuré tara tuntas ogé acan, sedengkeun para sawah janten netep ka comeuk karena ngadengeun klopotan daun katumbuh sareng hurip jeung palawija katutup, saleresna mulai kaca ngangkat.[Translation
Saat matahari terbit di ufuk timur, burung-burung berkicau dengan riangnya, dan pepohonan yang hijau melambai-lambaikan daunnya di bawah angin yang sepoi-sepoi.	Upami mawi cahya mentari ngajeung ka mulang, jalma-jalma kieu ngarapet itungan pangalaman, sarebu-sarebu teu ngeuceuhi ginanjaran, miara-miara teh ngagibakeun daun teu meresek ka kasiguruan.
Di rumah ini terdapat sebuah taman yang luas, pohon-pohon tinggi yang rimbun, bunga-bunga yang indah, dan air mancur yang menyejukkan.	Di rumpaka ieu aya upami taman nu parantos luas, asem-dana ​​nu muncuk nuluyu, lindung kidul nu oge hese, kembang nu boga coblong tumuju kasepuhan jeung umbul nu mimitian.
Hari ini, saya bangun pagi-pagi, membersihkan kamar, berolahraga di taman, memasak sarapan, dan bersiap-siap untuk bekerja di kantor.	Dina ieu, abdi molehkeun pangkatu-pangkatuh, ngenahkeun kamare, ngepang ngarambeuhan di tamang, nyiapkeun sarapan, sareng ngadaptarkeun diri sakumaha katorangan ka kantor.
Saya suka makan nasi goreng, mie goreng, dan ayam goreng di Warung Makan Padang yang terkenal di Jalan Sabang karena rasanya enak dan harganya terjangkau.	Abdi suka nami mangan nasi goreng, mie goreng, sareng ayam goreng di Warung Makan Padang nu boh geus keneh di Jalan Sabang mangrupikeun rasana teu rapet sareng hargana ogé panghandap.
Saya suka makan nasi goreng, mie goreng, dan kwetiauw goreng saat sarapan, makan siang, atau makan malam.	Abdi resep ngaleungit nasi goreng, mie goreng, sarewangi gorengina sapertos ngapuluh-ungkur sarewangi, makan sesa, atanapi nyandak saur.
.Banyak sekali tempat wisata di Indonesia, seperti pantai di Bali, Gunung Bromo di Jawa Timur, Candi Borobudur di Jawa Tengah, dan Danau Toba di Sumatera Utara, semuanya memiliki keindahan yang unik dan menarik.	.Bade sok ngalengkah tempat pariwisata di Indonésia, kaya pantai nang Bali, Gunung Bromo nang Jawa Timur, Candi Borobudur nang Jawa Tengah, ogé Danau Toba nang Sumatera Utara, sadaya ngayakeun kahuripan anu unik sareng namplok.
Saya suka makan nasi padang, sate ayam, dan rendang yang pedas, sedangkan teman saya lebih senang dengan pizza, burger, dan kentang goreng yang gurih.	Abdi kalayan hirup jeungngih ka nasi padang, sate ayam, sareng rendang anu mendak pedas, sareng ka anjeun nami bakal leuwih terangsang nyaéta pizza, burger, sareng kentang goreng anu gedé gurihna.
Seiring dengan semakin berkembangnya teknologi informasi, maka semakin meningkat pula kebutuhan masyarakat akan akses internet yang cepat, handal, dan terjangkau dengan berkembangnya industri teknologi, sehingga didorong untuk terus menambah infrastruktur telekomunikasi yang canggih dan memperluas jangkauan akses internet di seluruh wilayah Indonesia.	Saméméh ngembangkeun teknologi informasi, mésérna lulumpangna kabaéhan anu butuhna masyarakat pikeun aksés internet nu cepat, handal, sareng murah, nyalaykeun industri teknologi, sehingga méré usaha ngamutahirkeun infrastruktur telekomunikasi nu canggih sareng ngajalanna aksés internet di sakumna wilayah Indonesia.
Kebijakan pemerintah tentang penanganan pandemi COVID-19 harus melibatkan semua stakeholder seperti tenaga medis, pihak swasta, masyarakat, dan ahli epidemiologi untuk menciptakan strategi yang efektif dan berhasil dalam mengendalikan penyebaran virus yang mematikan ini.	Rancangan pemerintah ngeunaan penanganan pandemi COVID-19 kudu ngawengku sadaya stakeholder kaya tenaga medis, pihak swasta, masyarakat, sareng ahli epidemiologi pikeun ngajantenkeun strategi anu efektif sareng hasil dina nguasakeun penyebaran virus anu bunting sajarah ieu.
.Saat aku bangun pagi-pagi dan membersihkan wajahku dengan air, lalu aku menikmati secangkir kopi hitam sambil membaca buku, kemudian aku bersiap-siap untuk memulai hari dengan semangat dan tekad yang kuat.	.Mangga ti mangsana, abdi geus bangun pagi-pagi sareng ngaleuleus wajah, terus abdi ngagunakeun secangkir kopi ireng sareng ngalaparkeun buku, sareng karang abdi ngadados sawatara pikeun ngahadepkeun sinau sareng njaluk kawanten sareng tekad nu kuat.
.Setelah memasak nasi, aku merendam ikan yang akan di goreng, kemudian membersihkan sayuran yang akan di potong-potong, bahkan menyiapkan bumbu untuk membuat sambal yang pedas.	.Sanggeus ngajiken nasi, abdi nyucikeun ikan nu bakal di goreng, lumpatna ngabersihkeun sayuran nu bakal dipotong-potong, samemehna nyiapkeun basa nu bakal ngajadikeun sambel nu rasa pedas.
Saya suka makan ayam goreng, nasi goreng, dan mie goreng saat sarapan; saya suka pergi ke taman, ke pantai, dan ke gunung saat liburan; saya suka membaca buku, menonton film, dan mendengarkan musik saat waktu senggang.	Abdi senang ngaminyak deui ayam goang, nasi goang, sareng mi goang waktu sarapan; abdi senang nyarios ka taman, ka pantai, sareng ka gunung waktu kabujangan; abdi senang mangrupa buku, nonton film, sareng mimiti denger music waktu kaulinan.
"""Untuk mencapai kesuksesan dalam hidup, seseorang perlu memiliki tekad yang kuat, disiplin yang tinggi, usaha yang tak kenal lelah, serta kerja keras yang terus menerus."""	"""Pikeun mencapai sukses dina urang, banterna loba teu patali kainget, disiplin nu pangalusna, usaha nu endah-endar, sareng ngadankeun karya nu kantun sami."""
Saat musim hujan tiba, langit menjadi kelabu dan angin bertiup kencang, air menggenangi jalan-jalan, dan pepohonan berguguran daunnya karena terhuyung-huyung oleh tiupan angin yang sangat kuat.	Sateuacanna musim hujan tiba, langit nangtung jadi keruh sareng angin tibiut kencang, bari bedilongan jalan, sareng asa daun kalawan gugur lamun naén tiupan angin nu sanésna pondokna béda suci.
Hari ini aku bangun pagi, mandi, sarapan, dan pergi ke kantor dengan menggunakan kendaraan pribadi.	Mangga ieu sisirah riweuhna, urang ayeuna kaget kaluar ti bedil, mangga mugia lengkep sareng meunangkeun kapeuting ti kantoran ku nganggo kandaraan apel.
Berbagai bentuk kegiatan di sekolah telah diselenggarakan oleh sebuah komite yang terdiri dari para guru dan orangtua siswa seperti lomba foto, seminar tentang pendidikan, serta pertandingan basket antar kelas.	Aya ngagiatkeun beragam karajekti di sekola nu diselenggarakeun ku hiji komite naos guru jeung wali murid saperti lomba potré, seminar mayaréntah tentang kasahayangan, sareng lomba bola keranjang antar kelas.
Saya sedang belajar bahasa Inggris untuk meningkatkan kemampuan berkomunikasi saya dalam bahasa asing, saya juga sedang berlatih menulis karya sastra untuk memperdalam kemampuan menulis saya, dan saya juga sedang berusaha memperbaiki gaya hidup saya dengan lebih sadar akan kesehatan.	Abdi paénta ngajén bahasa Inggris pikeun nambahkeun kapasitas ngomong abdi dina basa asing, abdi oge emut nulis karya sastra pikeun nambahkeun kapasitas nulis abdi, jeung abdi ngabayakeun ngadamel gaya hirup abdi ngan kitu-leutik sadar weug ngan kasehatan.
Saya akan pergi ke pasar untuk membeli bahan-bahan makanan, kemudian ke toko buku untuk membeli novel terbaru, dan setelah itu ke bioskop untuk menonton film yang baru tayang.	Abdi bakal kungsi ka pasar biyasa ngahaja bahan-bahan nganu sae, terus ka toko buku tiasa ngagolek novel pang ayeuna, sareng sababaraha anu leres ngungsi ka bioskop ngadangu film anyar nu keur ditayangkeun.
Ayah membawa anak-anak ke taman bunga yang baru dibuka, kemudian mereka memilih bunga-bunga yang indah untuk dijadikan hadiah ulang tahun ibu.	Bapa nyieun ajakan anak-anak ka taman bunga anu anyar dibuka, sabenerna mere kaselasaian bunga-bunga anu caiut pisan pikeun dijadikeun kahadiah ulang taun ibu.
Saya belajar bahasa Inggris, membaca buku, menonton film, dan berbicara dengan teman-teman asing setiap hari.	Abdi leres basa Inggris, nangtungkeun buku, dandos filem, sareng dayeuhkeun sareng teman asing tiap-sabasari.
Saya pergi ke pasar untuk membeli buah-buahan segar seperti apel, pisang, mangga, dan jeruk, sementara adik saya pergi ke pusat perbelanjaan untuk membeli pakaian baru seperti kemeja, celana panjang, sepatu, dan tas.	Abdi teu acan ka pasar pikeun nempo buah-buahan tina apel, kawung, manga, sareng jeruk nu anyar, atawa bahkan kadé acan ka situs perbelanjaan pikeun nyari pakéan anyar kaasup kain katun, celana kulup, sapatu, sareng jemplung.
Kita harus belajar dan berusaha lebih keras untuk meraih kesuksesan yang kita inginkan, karena tanpa usaha yang keras, kesuksesan akan sulit kita capai.	Kita kudu ngajalankeun sareng ngabisa leuwih kencang pikeun ngadegkeun kaunggulan nu kitu duka, kumargi tanpa kacanangan nu leuwih kencang, kaunggulan akan susah tiasa ditarék.
Saya suka menghabiskan waktu dengan membaca buku, menonton film, dan bermain game di waktu senggang saya.	Abdi baheula sareng ngalakonkeun waé kalayan ngaleutikan buku, nonton filem, sarta ngarolék game dina watu aya senggang.
Saya suka makan nasi goreng, minum jus jeruk, dan menonton film di malam hari.	Abdi kedah suka mangan nasi goreng, nyeruput jus jeruk, sareng ningali film dina awus malem.
Dia adalah seorang atlet yang gigih, juara dalam setiap kompetisi, dan selalu bersemangat untuk mencapai prestasi tertinggi.	Aya nu pangluhurna runtuy, panghiji dina ngalawan sampeurna, sareng tetep mantep terus ngabogaan hasih pangluhurna.
Saya suka makan nasi dengan lauk yang berbeda-beda, seperti ayam goreng, ikan bakar, dan sayur lodeh, karena makanan yang bervariasi membuat saya tidak merasa bosan dan selalu ingin mencoba menu yang baru.	Abdi resep kanu ogé, ngamunchulan maké nasi sareng lauk ngaranna beda-beda, sapertos ayam goreng, iwak bakar, sareng sayur láwih, sanés kénéh umbes dijadikeun bahan kuliner anu nganyah nyaman jeung ngagaduh, téhna suka rasanna ngolah gurih ayeuna atawa maéa siap anu ngaitkeun éta hidangan waktos.
Penerimaan mahasiswa baru di universitas negeri terbesar di Jakarta, Universitas Indonesia, sudah dibuka dari minggu lalu dan akan berakhir pada akhir Agustus mendatang, sedangkan di Universitas Padjadjaran, univestitas negeri terbesar diwilayah Jawa Barat, pendaftaran mahasiswa baru dimulai tanggal 4 Juli dan akan berakhir pada tanggal 18 Agustus.	Pangunduhan mahasiswa anyar di universitas nagara panggedé di Jakarta, Universitas Indonesia, geus dibuka ti minggu lalun ari, sareng bade tibat di akhir Agustus ka wengi, sedengkeun di Universitas Padjadjaran, universitas nagara panggedé di wilayah Jawa Barat, pangajukeun mahasiswa anyar parantos 4 Juli sareng mangrupikeun di 18 Agustus.
Mereka belajar dengan rajin, berolahraga secara teratur, mengonsumsi makanan sehat, dan tidur cukup untuk mempertahankan kesehatan dan kebugaran tubuh mereka.	Anjeun ngajalankeun ngadengekeun, ngeunaan-unaan olahraga, ngonsumsi pangan saneuh, sareng beurat cukup pikeun mempertahankan kahiji sareng kakuatan jasad anjeun.
.Anda harus memperbaiki kualitas layanan, menyediakan fasilitas lengkap, serta menjaga keamanan dan kenyamanan menjadi prioritas utama dalam bisnis pariwisata di era digital ini.	.Antos perlu nganyakeun kualitas paminatan, nerapkeun panjaluk lengkap, sareng ngarosakeun kaamanan sareng kenyamanan janten prioritas panghulu di industri pariwisata dina zaman digital ieu.
Saya suka makan makanan yang sehat seperti sayur-sayuran hijau, buah-buahan segar, dan daging tanpa lemak yang diolah dengan teknik memasak yang tepat, serta minum air putih yang cukup setiap hari.	Abdi kacintaan milu jateuh hiji ngan ukur kaalit pikeun ngarasakeun kasehatan, saperta sayur-sayuran hiji, buah-buahan segar, jeung daging sareng lemak kahiji nu geus diolah ngan teknik masak nu cocog kana adat jeung pamanggangna, sareng mikir air putih nu akur mungkin sapados kahir pikeun tiap-tiap beuki.
Ayah membeli buku baru di toko buku, ibu memasak ayam goreng untuk makan siang, sedangkan adik saya sedang belajar matematika di ruang belajar.	Bapa ngabéré buku anyar di toko buku, ibu ngolah ayam gepuk pikeun ngantor ngadep hajatan, sagala nu ngahiji saurang budak anu lagi belajar matematika di rongrong kelas.
Saya akan pergi ke pasar untuk membeli sayuran hijau, lauk pauk segar, buah-buahan yang manis, dan makanan ringan yang renyah.	Abdi moalok ka pasar pikeun nyoka sayuran hiji, bandros segar, buah-buahan nu manis, sareng lepetan nu resep.
Di pagi yang cerah ini, aku bangun dari tempat tidur yang empuk, kemudian mandi dengan air hangat, lalu menyantap sarapan yang enak.	Di pagi anu jernih ieu, abdi kedah bolak-balik tina palimpi, terus anguh mandi ku air panas, sanajan sareseun mangga nu enak.
Pada saat saya pergi ke toko, saya membeli ayam, beras, sayuran, dan bumbu masak yang dibutuhkan untuk membuat nasi goreng yang lezat dan nikmat.	Sanggeus abdi langkung ka tokona, abdi ngabeli manuk, ajen, ora, jeung rempah-rempah anu kaperyogi pikeun ngajahen tumpeng goreng anu enak sareng sadayana teuareun.
"""Saat ini, banyak orang di Indonesia sedang berjuang melawan virus corona yang menyebar dengan cepat dan mengancam kesehatan mereka, sehingga pemerintah dan masyarakat harus bekerja sama untuk mengatasi masalah ini secara bersama-sama dan mengurangi risiko penularannya."""	"""Saha wani ngan kawula ka Indonésia ngarep kieu ngadéngan virus korona nu ngaleza-aleza sareng ngagancang cantrik pangrojong, ranjangana pamaréntah sareng masyarakat réngsé kudu kawasa hiji ti katanojong kuring ka hareupena kakalungsuran cipta."""
Kemarin, ketika saya berjalan-jalan di taman, saya melihat bunga-bunga yang indah, rumah-rumah yang megah, dan pepohonan yang tinggi.	Mangga dina, ti mun pintar di taman, abdi nempo kamomong meuni nu indah, ralebu-rangga nu mekar, sarebu nu tinggi.
Saya suka makan ayam goreng, memasak masakan Indonesia, dan menonton film bergenre thriller di waktu luang saya.	Abdi resep ngala ayam goreng, ngolah masakan Indonesia tur nyiptakeun film bergénera thriller waktu luang abdi.
Hari ini saya bangun sangat pagi untuk berolahraga di taman, tetapi sayangnya cuaca sangatlah buruk sehingga saya harus membatalkannya dan merencanakan aktivitas indoor seperti membaca buku atau menonton film.	Mangga patepangan ti gugusan abdi medoheun elmu teu nganggah naon, tapi sayang kaayaan awak anu ngarancaan loba deui kana adeumna pikeun ogé ngarancang aktivitas indoor, kaya nyumputan buku atawa nonton film.
Hari ini, saya bangun pagi-pagi dan mandi, lalu sarapan nasi goreng di teras rumah sambil membaca koran, kemudian pergi ke kantor dengan motor, terus bekerja sampai sore, kembali ke rumah, berolahraga sebentar, dan menonton film sebelum tidur.	Mangga ayeuna, abdi geus kacompang pagi-pagi sareng ngamandiang, terus sarapan nasi goreng di veranda rumah sambil maca koran, kedah katumuhan kantor ku motor, na beulingit kénéh sampai sore, teuing balik ka rumah, urug-urug diparemén salak, lan nonton film sateuacan saumpama tidur.
Setiap hari aku bangun pagi, mandi, dan sarapan sebelum bekerja di kantor, kemudian sore hari aku berolahraga dan makan malam bersama keluarga di rumah.	Sabenerna tiap-tiap dinten abdi beunghar pagi, nglakoni malebu saresepeun saateuacanna jangji-jangjian dina kantor, terus sareng-sareng abdi ngatika nu semeton, saur jangji-jangjian saresepeun jero mobil kituna akan ka guntur.
Para pelajar di sekolah ini belajar matematika, bahasa Indonesia, sains, sejarah, agama, olahraga, dan seni setiap harinya dengan tekun dan antusiasme yang tinggi.	Para siswa di sekolahan ieu nyadiakeun pagelaran matematika, basa Indonesia, sain, sejarah, agama, olahraga, sareng seni tiap-hari kalayan kacakap jeung semangat nu tangtu.
Seiring dengan perkembangan teknologi yang semakin pesat, kebutuhan masyarakat akan akses informasi yang lebih cepat dan mudah semakin meningkat, sehingga internet menjadi salah satu sarana yang paling banyak dimanfaatkan dan diminati pada saat ini.	Datang jeung naon kecapatan teknologi nu matakna, keurangan masyarakat duit informasi nu leuwih cepat sareng lega matakna arudug pangluhurna, ku eta internet mangrupa hiji alat nu pangdeudeuh sadaya jeung difavoritin dina ayeuna.
Hari ini saya memutuskan untuk bangun pagi, berolahraga, dan sarapan sebelum memulai bekerja di kantor.	Mangga inohong ngeunaan pangpentingna ngabangun sajatin bandi, ngajantenkeun olah raga, sareng ngeureunkeun sarapan saatos nyaluyuran mibanda ngawartos ka kantor.
Hari ini saya bangun pagi-pagi, mandi, sarapan, berangkat kerja, menyelesaikan tugas, dan pulang ke rumah untuk istirahat.	Mangga kunaon ayeuna abdi mimiti pangambalan, nyimpen, sarapan, janten dawuhan, ngalaksanakeun tugas, sareng ulah ka rumah pikeun nujuhakeun istirahat.
.Saat cuaca cerah, angin berhembus sepoi-sepoi yang sejuk dan menyenangkan, langit biru terbentang luas dengan awan-awan putih yang terlihat seperti kapas, dan matahari bersinar terang menyinari segala yang ada di bawahnya.	.Nalika cuaca emas, titimangsa mener kudu henteuas jeung mangga lucuna, luhur biru ningali kaki pangarewang ku awan putih nu hayangna titimangsa banjar boga ngora, sareng mentari ngeunaan kumelar ka wungkul sadayana di handapna.
Saya suka makan nasi goreng pedas, minum teh manis hangat, dan menonton film romantis di malam hari.	Abdi kedah nyukupan nasi goreng rica-rica, ngalampah teh manis panas, sareng tingal barudakna ritu sanes dipuncak malem.
Dia bekerja keras untuk mencapai cita-citanya, berjuang dengan gigih dan tidak pernah menyerah meskipun menghadapi tantangan yang besar, serta selalu mengambil pelajaran dari setiap kegagalan agar bisa menjadi lebih baik di masa depan.	Ane nyehat ka urang silih ka urang, ngalawan kakuatan atawa rintangan nu ngedatang sarta nyaéta teu ngrojongkeun aramah, diharépkeun supaya urang tiasa ngajalankeun jalan ngadegkeun narima henteu buntutna, lan urang hartina mukim sababaraha hasil nanjung sareng merenah di waktu singkat.
Hari ini saya pergi ke pasar untuk membeli sayur, daging, dan buah, serta pergi ke bank untuk menabung dan mengambil uang.	Sasarengan ieu abdi kalebu ka pasar kanggo nyarios sayur, barang beunang, sarebu, sareng ngalebet ka bank kanggo ndeureun tabungan sareng ngajemana duit.
Saya pergi ke pasar untuk membeli sayuran, beras, daging, ikan, telur, dan rempah-rempah, sedangkan ayah saya pergi ke kantor untuk melakukan meeting, menyelesaikan dokumen, bertemu klien, dan mengevaluasi kinerja karyawan.	Abdi utan ngadatangan ka pasar pikeun nyebar sayur, beras, daging, iwak, telur, sareng rempah-rempah, sangkan bapa abdi utan ngadatangan ka kantor pikeun ngahasilkeun rapat, nuntutkeun dokumén, mangrupakeun klien, sareng ngajalanneun évalusi kinerja karyawan.
Saya pergi ke pasar untuk membeli sayuran, daging, beras, dan telur, lalu saya masak semua bahan tadi menjadi nasi goreng yang menggunakan kecap manis, garam, bawang putih, dan cabai sebagai bumbunya.	Aing teuangan ka pasar pikeun ceuk jual sayuran, daging, beusi, sareng telur, terus aingolah sadayana bahan tadi jadi nasi goreng anu ngagunakeun kecap manis, gala, bawang putih, sareng cabé salaku basa bumbuna.
.Dia suka bermain sepak bola, berenang, bersepeda, dan juga hiking di gunung-gunung yang tinggi.	.Anjeun suka mangaru sepak bola, ngalilir, bersepeda, sareng ogé hiking di gunung-gunung nu luhur.
Saya suka makan siang di suatu restoran yang terkenal di daerah Jakarta karena memang sangat enak dan terkenal dengan kelezatannya serta mampu memberikan kenyamanan bagi pelanggannya.	Urang resep makan siang di restoran nu terkenal di daerah Jakarta mun mah leres-tea jeung terkenal ku kabeh rasa na sareng bisa nyadiakeun kanyamanan pikeun pangguna.
Saya akan menabung uang untuk membeli mobil baru, membayar hutang, dan menyimpan uang untuk masa depan.	Abdi bakal maenung kabeh duit kanggo beli mobil anyar, ngabayang hutang, sareng ngadangukeun duit kanggo kaayaan sareng masa depan.
